Id;Start time;Completion time;Email;Name;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Considero que tengo un nivel de conocimiento en Machine Learning avanzado;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Tengo alto interés en aprender Machine Learning aplicado al Marketing;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Tengo alto interés en aprender Machine learning aplicado (a otras ramas diferentes al ma;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Considero muy útil para mi vida profesional un curso de Machine Learning;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Me siento muy cómodo con el aprendizaje en línea (virtual);Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Es muy probable que me inscriba a un curso de Machine Learning en el futuro si lo encuen;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Tengo experiencia en conceptos y librerías de programación de Python;Si tienes interés en otra rama del Machine Learning aplicado (diferentes al marketing), por favor indicanos en que tema te gustaría que tuvera énfasis un curso de Machine Learning aplicado;Cuál es tu objetivo principal para tomar un curso de Machine Learning;Si respondiste otro en la pregunta 3, por favor indicanos cuál sería su objetivo principal para tomar un curso de Machine Learning;Por favor indicanos el orden de preferencia que tendría para ti las siguientes opciones de soporte durante el curso: ;Indica tu nivel de escolaridad
13;1/11/24 7:18;1/11/24 7:20;anonymous;;2 (En desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);Finanzas;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Maestría
14;1/11/24 7:31;1/11/24 7:33;anonymous;;1 (En total desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);1 (En total desacuerdo);;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
15;1/11/24 7:38;1/11/24 7:39;anonymous;;1 (En total desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);;Mejorar habilidades en su trabajo actual;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Profesional
16;1/11/24 7:46;1/11/24 7:49;anonymous;;3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);;Aplicar Machine Learning a proyecto personal;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Profesional
17;1/11/24 8:11;1/11/24 8:12;anonymous;;5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);Análisis de mercados y análisis financiero;Otro;Modelamiento en mi empresa ;"Foros de discusión;Recursos adicionales;Tutores disponibles;";Maestría
18;1/11/24 8:14;1/11/24 8:16;anonymous;;4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);4 (de acuerdo);;Mejorar habilidades en su trabajo actual;Complementar tareas e investigación de mi rol actual con Machine Learning;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Maestría
19;1/11/24 8:15;1/11/24 8:16;anonymous;;5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);Riesgo de crédito ;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
20;1/11/24 8:16;1/11/24 8:19;anonymous;;4 (de acuerdo);2 (En desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);;Mejorar habilidades en su trabajo actual;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Profesional
21;1/11/24 8:18;1/11/24 8:21;anonymous;;3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);Deep learning.;Mejorar habilidades en su trabajo actual;Realizar ejercicios teórico práctico ;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Maestría
22;1/11/24 8:25;1/11/24 8:26;anonymous;;3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);4 (de acuerdo);Pronósticos Financieros;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
23;1/11/24 8:34;1/11/24 8:37;anonymous;;4 (de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);Planeación de la Demanda, Previsión de Inventarios, Predicción de eventos anómalos como fallas en maquinaria basado en logs batch;Aplicar Machine Learning a proyecto personal;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
25;1/11/24 9:15;1/11/24 9:19;anonymous;;4 (de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);Analítica predictiva;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
27;1/11/24 9:24;1/11/24 9:26;anonymous;;2 (En desacuerdo);2 (En desacuerdo);2 (En desacuerdo);2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);2 (En desacuerdo);No conozco;Ninguno;No aplica;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Maestría
28;1/11/24 9:55;1/11/24 9:56;anonymous;;1 (En total desacuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);1 (En total desacuerdo);;Ninguno;;"Recursos adicionales;Foros de discusión;Tutores disponibles;";Maestría
30;1/11/24 10:26;1/11/24 10:28;anonymous;;2 (En desacuerdo);2 (En desacuerdo);1 (En total desacuerdo);2 (En desacuerdo);5 (Totalmente de acuerdo);2 (En desacuerdo);1 (En total desacuerdo);;Ninguno;;"Foros de discusión;Recursos adicionales;Tutores disponibles;";Maestría
31;1/11/24 10:27;1/11/24 10:31;anonymous;;2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);Aseguramiento metrológico;Aplicar Machine Learning a proyecto personal;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
32;1/11/24 10:40;1/11/24 10:41;anonymous;;1 (En total desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
33;1/11/24 10:42;1/11/24 10:44;anonymous;;3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);Finanzas ;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
34;1/11/24 11:07;1/11/24 11:09;anonymous;;2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);1 (En total desacuerdo);No conozco del tema ;Mejorar habilidades en su trabajo actual;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Maestría
35;1/11/24 12:27;1/11/24 12:31;anonymous;;2 (En desacuerdo);2 (En desacuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);1 (En total desacuerdo);Educación;Otro;Entender mejor a mis estudiantes ;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Doctorado
36;1/11/24 14:22;1/11/24 14:24;anonymous;;1 (En total desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);;Cambiar de carrera;.;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Profesional
37;1/11/24 19:24;1/11/24 19:37;anonymous;;4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);Optimizacion de inventarios, detección de fraude, anomalías ;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
38;2/11/24 13:47;2/11/24 13:52;anonymous;;3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);;Mejorar habilidades en su trabajo actual;;"Foros de discusión;Tutores disponibles;Recursos adicionales;";Maestría
39;2/11/24 14:05;2/11/24 14:08;anonymous;;3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);2 (En desacuerdo);Coaching ;Aplicar Machine Learning a proyecto personal;No aplic;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
40;2/11/24 14:24;2/11/24 14:26;anonymous;;2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);2 (En desacuerdo);Estudios científicos y clinicos;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Maestría
41;2/11/24 14:28;2/11/24 14:33;anonymous;;3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);2 (En desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);1 (En total desacuerdo);;Otro;Conocer posibles aplicaciones personales y laborales;"Recursos adicionales;Foros de discusión;Tutores disponibles;";Maestría
42;2/11/24 14:48;2/11/24 14:51;anonymous;;1 (En total desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);1 (En total desacuerdo);;Ninguno;;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Profesional
43;2/11/24 14:49;2/11/24 14:51;anonymous;;2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);Finanzas ;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
44;2/11/24 14:56;2/11/24 14:58;anonymous;;1 (En total desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);1 (En total desacuerdo);Jurídica ;Aplicar Machine Learning a proyecto personal;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Profesional
45;2/11/24 15:03;2/11/24 15:05;anonymous;;2 (En desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);;Aplicar Machine Learning a proyecto personal;;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Maestría
46;2/11/24 15:53;2/11/24 15:55;anonymous;;1 (En total desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);Na;Mejorar habilidades en su trabajo actual;Na;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
48;2/11/24 16:20;2/11/24 16:22;anonymous;;1 (En total desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);4 (de acuerdo);1 (En total desacuerdo);;Aplicar Machine Learning a proyecto personal;;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Maestría
49;2/11/24 16:20;2/11/24 16:22;anonymous;;3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);4 (de acuerdo);1 (En total desacuerdo);;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
51;2/11/24 17:26;2/11/24 17:27;anonymous;;2 (En desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);;Mejorar habilidades en su trabajo actual;;"Foros de discusión;Recursos adicionales;Tutores disponibles;";Profesional
52;2/11/24 18:34;2/11/24 18:38;anonymous;;1 (En total desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);2 (En desacuerdo);No;Mejorar habilidades en su trabajo actual;;"Foros de discusión;Tutores disponibles;Recursos adicionales;";Maestría
7;31/10/24 23:12;31/10/24 23:16;anonymous;;3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);FINANZAS;Aplicar Machine Learning a proyecto personal;MEJORAR MI NEGOCIO A TRAVES DE LOS DATOS, POR EJEMPLO LOS PRODUCTOS A OFRECER, LOGRAR MAYOR VENTAS;;Maestría
12;1/11/24 7:17;1/11/24 7:19;anonymous;;2 (En desacuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);1 (En total desacuerdo);;Ninguno;;;Maestría
24;1/11/24 8:41;1/11/24 8:42;anonymous;;5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);;Mejorar habilidades en su trabajo actual;;;Doctorado
26;1/11/24 9:21;1/11/24 9:23;anonymous;;5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);2 (En desacuerdo);;Mejorar habilidades en su trabajo actual;;;Profesional
29;1/11/24 10:19;1/11/24 10:23;anonymous;;2 (En desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);Siento especial interés por el tema;Mejorar habilidades en su trabajo actual;No;;Maestría
47;2/11/24 15:57;2/11/24 15:58;anonymous;;1 (En total desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);1 (En total desacuerdo);;Aplicar Machine Learning a proyecto personal;;;Maestría
50;2/11/24 17:23;2/11/24 17:24;anonymous;;2 (En desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);1 (En total desacuerdo);;Aplicar Machine Learning a proyecto personal;;;Maestría
53;2/11/24 20:40;2/11/24 20:42;anonymous;;2 (En desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);;Ninguno;;"Recursos adicionales;Foros de discusión;Tutores disponibles";Maestría
54;3/11/24 8:13;3/11/24 8:15;anonymous;;3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);;Ninguno;;"Tutores disponibles;Foros de discusión;Recursos adicionales";Maestría
